Counter|Date/time|Latitude|Longitude|Temperature|Humidity|MagX|MagY|MagZ|MagMod|Pitch|Roll|Yaw|X_Acc|Y_Acc|Z_Acc
201|34:15.6|2.906214975|6.929100746|45.23|20.27|12.49|1.63|-8.9|15.42|343.026|56.345|351.687|0.016|0.042|0.029
202|34:26.1|2.369687237|7.307921716|44.82|22.36|12.54|1.7|-9.23|15.66|343.276|56.027|350|0.018|0.042|0.027
203|34:36.6|1.833655525|7.685972811|44.63|21.28|12.47|1.92|-9.9|16.04|343.06|55.523|348.397|0.018|0.042|0.028
204|34:47.1|1.297187058|8.064007121|44.63|20.19|12.64|2.09|-10.57|16.61|342.743|55.4|346.952|0.021|0.04|0.026
205|34:57.6|0.761031309|8.441591138|44.56|21.16|12.77|2.17|-10.9|16.93|341.174|54.077|346.015|0.015|0.041|0.028
206|35:08.1|0.225043684|8.818921424|44.29|19.86|12.72|2.37|-11.18|17.10|341.61|54.642|345.953|0.02|0.041|0.027
207|35:18.6|-0.310485403|9.195887856|44.93|19.62|12.7|2.38|-11.33|17.18|340.705|55.57|343.767|0.018|0.042|0.025
208|35:29.1|-0.846492323|9.573243678|44.56|20.86|12.6|2.68|-11.83|17.49|339.262|57.188|342.111|0.018|0.04|0.027
209|35:39.6|-1.381601162|9.950114101|44.52|22.75|12.78|2.77|-12.13|17.84|339.033|56.16|341.725|0.02|0.042|0.027
210|35:50.2|-1.917507297|10.32778736|45.2|20.68|13.04|2.95|-12.92|18.59|338.801|55.981|341.007|0.016|0.042|0.028
211|36:00.7|-2.452955662|10.70547362|45.14|21.04|13.1|3.63|-13.32|19.03|339.445|54.613|341.656|0.018|0.041|0.025
212|36:11.1|-2.987434051|11.08290469|45.11|21.09|13.34|3.8|-13.51|19.36|340.114|54.468|339.968|0.014|0.041|0.024
213|36:21.6|-3.522268964|11.4611114|44.24|20.37|13.26|3.97|-14|19.69|340.223|53.656|339.399|0.014|0.041|0.027
214|36:32.2|-4.057177685|11.83998989|45.14|20.06|13.31|4.09|-14.6|20.18|339.8|52.481|336.585|0.016|0.042|0.026
215|36:42.6|-4.590763582|12.21864444|45.05|21.32|13.31|4.25|-14.95|20.46|340.838|52.449|335.408|0.019|0.041|0.026
216|36:53.1|-5.125127674|12.59866145|45.07|20.54|13.35|4.4|-15.17|20.68|340.263|52.15|334.875|0.015|0.041|0.024
217|37:03.6|-5.658625434|12.97896833|44.31|19.28|13.64|4.59|-15.72|21.31|340.31|52.982|334.156|0.015|0.042|0.027
218|37:14.1|-6.191863545|13.36009264|44.27|20.9|13.86|4.76|-15.87|21.60|339.36|53.883|333.299|0.019|0.041|0.028
219|37:24.6|-6.724722246|13.74204579|44.59|21.48|14.01|4.85|-16.15|21.92|340.273|53.554|332.154|0.021|0.041|0.025
220|37:35.1|-7.256809165|14.12464262|44.7|20.83|14.37|5.04|-16.28|22.29|339.705|55.07|330.892|0.015|0.042|0.026
221|37:45.6|-7.788669875|14.50837281|44.65|18.21|14.49|5.3|-16.32|22.46|339.907|53.48|331.244|0.014|0.042|0.028
222|37:56.1|-8.320172827|14.89324128|45.13|22.72|14.56|5.48|-16.88|22.96|340.206|54.32|328.44|0.015|0.043|0.024
223|38:06.6|-8.850938021|15.27907172|44.59|20.05|14.42|5.59|-17.05|23.02|339.589|51.845|328.804|0.021|0.042|0.029
224|38:17.1|-9.381322957|15.66622383|44.33|22.35|14.58|5.82|-17.1|23.21|337.187|51.073|327.932|0.022|0.042|0.028
225|38:27.6|-9.911224809|16.0547247|45.07|19.28|14.69|5.92|-17.53|23.63|338.01|49.591|329.103|0.016|0.041|0.027
226|38:38.1|-10.44000334|16.44420464|44.52|20.3|14.78|5.97|-17.6|23.75|338.307|50.269|328.905|0.016|0.04|0.025
227|38:48.6|-10.96828682|16.8352272|44.91|20.94|15.04|6.35|-18.06|24.35|337.957|51.358|328.484|0.02|0.04|0.029
228|38:59.0|-11.49629803|17.2280641|44.31|20.58|15.06|6.22|-18.57|24.70|338.372|51.775|325.891|0.018|0.042|0.027
229|39:09.6|-12.02420841|17.62295391|44.29|21|15.27|6.22|-18.7|24.93|337.586|51.016|325.62|0.022|0.041|0.028
230|39:20.1|-12.55086024|18.01913754|44.45|21.43|15.24|6.52|-18.93|25.16|336.566|50.624|324.764|0.018|0.04|0.026
231|39:30.6|-13.07740757|18.41759187|45.16|20.93|15.3|6.82|-19.09|25.40|336.489|50.959|325.077|0.016|0.041|0.027
232|39:41.1|-13.60304773|18.81782247|44.98|20.64|15.21|7.12|-18.93|25.31|335.588|51.351|322.821|0.014|0.042|0.026
233|39:51.6|-14.12833788|19.22036708|44.49|20.14|15.34|7.17|-18.75|25.26|335.399|51.558|322.813|0.019|0.041|0.025
234|40:02.1|-14.65105959|19.62362837|44.75|20.39|15.49|7.41|-18.8|25.46|335.476|49.779|322.973|0.019|0.041|0.027
235|40:12.6|-15.17404979|20.02990426|44.49|20.63|15.45|7.31|-18.96|25.53|334.89|50.345|321.139|0.021|0.04|0.028
236|40:23.1|-15.69609329|20.43837521|45.09|21.01|15.73|7.53|-18.99|25.78|335.535|50.67|320.231|0.018|0.041|0.026
237|40:33.6|-16.21811739|20.84989202|44.61|20.5|15.54|7.78|-18.97|25.73|335.186|48.688|320.431|0.018|0.042|0.024
238|40:44.1|-16.737971|21.26287585|45.05|20.76|15.55|8.35|-19.65|26.41|334.311|46.392|320.283|0.013|0.041|0.028
239|40:54.6|-17.25758088|21.67897482|44.38|20.83|15.63|8.72|-20|26.84|332.301|47.958|318.82|0.019|0.041|0.028
240|41:05.1|-17.77521842|22.09692613|44.2|20.69|15.91|9.08|-19.75|26.94|332.684|48.08|318.278|0.015|0.041|0.026
241|41:15.6|-18.29216431|22.51788362|45.05|19.27|15.73|9.09|-19.62|26.74|332.046|49.77|317.525|0.018|0.041|0.027
242|41:26.2|-18.8078726|22.94153277|44.66|20.47|15.93|9.19|-19.93|27.12|332.89|49.609|316.79|0.017|0.04|0.025
243|41:36.7|-19.32333207|23.36882429|45.13|20.61|16.14|9.47|-19.75|27.21|333.717|51.437|315.262|0.016|0.042|0.025
244|41:47.2|-19.83621874|23.79795823|44.84|20.86|15.85|9.68|-19.6|27.00|333.283|50.203|315.474|0.013|0.041|0.027
245|41:57.7|-20.34854287|24.2307427|44.25|21.44|16.1|9.74|-19.69|27.24|334.335|50.443|315.848|0.017|0.042|0.025
246|42:08.2|-20.85885806|24.66609156|44.59|21.3|16.2|9.94|-20.09|27.66|334.796|49.708|315.066|0.013|0.041|0.026
247|42:18.7|-21.36741628|25.10434373|45.11|20.66|16.2|10.1|-19.8|27.50|334.989|50.365|313.73|0.016|0.042|0.028
248|42:29.2|-21.87531651|25.54659121|44.33|20.59|16.02|10.49|-19.81|27.55|335.702|51.242|312.52|0.02|0.041|0.026
249|42:39.7|-22.38072269|25.99137384|44.27|20.27|16.23|10.46|-19.82|27.67|335.513|52.087|311.726|0.02|0.042|0.026
250|42:50.2|-22.88390688|26.4390509|44.34|21.61|16.31|10.47|-19.77|27.69|335.27|51|311.084|0.018|0.042|0.027
251|43:00.7|-23.38654327|26.89126354|44.2|18.91|16.32|10.44|-20.18|27.97|335.854|52.079|311.142|0.013|0.042|0.026
252|43:11.2|-23.88693274|27.34663847|45.11|20.6|16.26|10.48|-20.29|28.03|335.764|52.615|309.665|0.022|0.04|0.027
253|43:21.7|-24.3861021|27.80626|45.14|21.08|16.17|10.72|-20.55|28.26|336.119|52.417|309.314|0.018|0.041|0.027
254|43:32.2|-24.88355917|28.26983797|44.4|20.81|16.03|10.55|-20.54|28.11|336.587|53.928|308.298|0.02|0.04|0.028
255|43:42.7|-25.37890219|28.73715095|44.97|19.2|16.05|10.86|-20.7|28.36|337.268|54.928|308.651|0.022|0.041|0.026
256|43:53.2|-25.87144866|29.20769323|44.52|21.16|15.97|10.94|-20.75|28.38|338.109|56.011|308.422|0.023|0.041|0.027
257|44:03.7|-26.36278374|29.68313793|44.57|19.79|15.81|10.85|-20.9|28.36|337.737|55.03|308.158|0.014|0.042|0.025
258|44:14.1|-26.85244104|30.16321868|45.02|20.05|16|10.85|-20.87|28.45|337.068|54.558|307.81|0.016|0.043|0.024
259|44:24.6|-27.3395347|30.64723182|44.22|20.85|15.91|10.71|-21.02|28.45|338.208|54.226|308.093|0.018|0.041|0.027
260|44:35.1|-27.82469648|31.13597045|44.27|20.85|16.03|10.83|-21.25|28.74|338.039|52.917|308.006|0.018|0.043|0.025
261|44:45.6|-28.30753362|31.6292146|45.16|20.59|15.92|10.99|-21.19|28.69|337.957|53.529|306.548|0.013|0.041|0.028
262|44:56.1|-28.78806581|32.12715804|44.5|20.4|15.63|11.11|-20.96|28.41|337.221|51.83|306.182|0.02|0.04|0.027
263|45:06.5|-29.26672531|32.63043881|44.41|20.71|15.34|11.31|-21.05|28.40|336.094|52.376|305.852|0.015|0.041|0.026
264|45:17.0|-29.74148738|33.13708719|44.54|20.61|15.05|11.13|-21.46|28.48|335.841|50.922|306.039|0.013|0.043|0.027
265|45:27.5|-30.21466419|33.64974267|44.18|20.74|14.99|11.2|-21.48|28.49|336.707|50.334|306.157|0.013|0.041|0.028
266|45:37.9|-30.68604482|34.1684073|44.41|19.21|15.09|11.5|-21.49|28.67|337.68|50.903|305.897|0.02|0.042|0.027
267|45:48.4|-31.15431441|34.69183479|44.27|20.75|15.21|11.36|-21.33|28.55|337.949|51.433|306.275|0.02|0.041|0.027
268|45:58.9|-31.62041226|35.22127374|45.13|20.75|15.09|11.53|-21.75|28.87|337.587|51.542|306.54|0.021|0.041|0.027
269|46:09.4|-32.08382019|35.75635359|44.57|20.61|14.88|11.48|-22.02|28.95|337.751|51.85|306.048|0.014|0.043|0.025
270|46:19.9|-32.54505084|36.29789359|44.88|21.1|14.77|11.48|-21.85|28.76|338.457|52.527|307.759|0.022|0.041|0.025
271|46:30.3|-33.0033381|36.84522352|44.41|20.78|14.68|11.67|-21.76|28.73|340.165|53.094|307.638|0.016|0.042|0.026
272|46:40.8|-33.4581241|37.39787511|44.61|20.13|14.54|11.67|-22.12|28.93|340.501|54.66|306.105|0.014|0.042|0.03
273|46:51.3|-33.91053776|37.95744498|45.09|20.1|14.15|11.66|-22.04|28.67|340.482|54.439|306.183|0.019|0.04|0.028
274|47:01.8|-34.36010653|38.52360503|44.38|20.62|13.94|11.83|-22.65|29.11|340.309|53.442|305.951|0.016|0.041|0.025
275|47:12.3|-34.80641244|39.0960664|45.13|21.39|14.08|11.83|-22.83|29.32|341.416|51.147|305.225|0.016|0.041|0.026
276|47:22.7|-35.2489975|39.67445827|44.25|19.42|13.95|11.8|-22.87|29.27|341.535|50.127|306.791|0.017|0.041|0.025
277|47:33.2|-35.68824174|40.2595007|44.33|20.28|13.93|11.86|-23.07|29.44|341.841|49.524|307.46|0.015|0.043|0.026
278|47:43.7|-36.12393119|40.8511484|44.61|21.36|14.05|11.77|-23.13|29.51|341.728|48.455|308.576|0.018|0.04|0.027
279|47:54.2|-36.55692836|41.45085035|44.47|21.01|13.92|11.58|-23.66|29.79|341.133|47.947|307.788|0.02|0.042|0.03
280|48:04.6|-36.98585499|42.05696732|44.18|21.34|13.76|11.23|-23.69|29.61|340.547|48.577|307.732|0.02|0.041|0.028
281|48:15.1|-37.41162314|42.67105215|45.04|21.46|13.62|11.43|-23.48|29.45|341.006|49.405|306.768|0.015|0.041|0.025
282|48:25.6|-37.83309159|43.29172529|44.25|20.84|13.39|11.8|-23.89|29.82|340.16|50.754|305.39|0.017|0.041|0.026
283|48:36.1|-38.25171446|43.92142443|44.31|21.88|12.91|11.8|-24.33|29.96|341.085|49.871|304.476|0.014|0.041|0.027
284|48:46.5|-38.66469716|44.55619092|44.47|20.89|12.89|11.81|-24.48|30.08|340.994|50.448|304.311|0.018|0.041|0.026
285|48:57.0|-39.07397507|45.19921533|44.49|20.69|12.98|11.76|-24.88|30.43|339.515|50.704|303.24|0.016|0.041|0.027
286|49:07.5|-39.47923977|45.8503249|44.41|20.74|12.88|11.53|-25.23|30.58|339.911|50.233|302.392|0.019|0.041|0.03
287|49:18.0|-39.88146921|46.51145924|44.57|23.3|12.84|11.52|-25.47|30.76|339.062|48.416|303.135|0.021|0.04|0.025
288|49:28.4|-40.27912165|47.18044233|44.4|20.56|12.83|11.41|-25.34|30.61|338.212|49.014|302.6|0.015|0.043|0.027
289|49:38.9|-40.67140854|47.85618873|45.2|20.61|12.86|11.42|-25.27|30.57|338.4|49.019|302.56|0.014|0.041|0.028
290|49:49.4|-41.05941067|48.5408343|44.29|22.33|12.6|11.6|-25.2|30.47|338.453|48.756|301.822|0.014|0.042|0.024
291|49:59.9|-41.44248402|49.23356111|45.02|21.09|12.54|11.57|-25.6|30.76|339.641|47.934|302.486|0.015|0.042|0.026
292|50:10.3|-41.82127697|49.93588242|44.25|20.57|12.58|11.65|-26.07|31.20|339.615|48.125|301.2|0.019|0.042|0.027
293|50:20.8|-42.19525953|50.64718759|44.4|20.39|12.46|11.5|-26.61|31.55|340.48|49.52|300.439|0.015|0.041|0.025
294|50:31.3|-42.56458963|51.3681488|44.24|20.37|12.3|11.5|-26.96|31.79|340.082|50.254|299.96|0.016|0.042|0.027
295|50:41.8|-42.92893127|52.09849525|44.47|20.16|12.32|11.4|-27.52|32.23|339.689|50.827|298.496|0.014|0.041|0.025
296|50:52.3|-43.28729|52.83653815|44.43|20.57|12.21|11.28|-27.74|32.34|339.487|49.269|299.356|0.019|0.042|0.027
297|51:02.8|-43.64001138|53.58326177|44.43|22.28|12.07|11.36|-28.11|32.63|339.354|49.912|299.227|0.019|0.041|0.026
298|51:13.3|-43.98749273|54.33986744|44.73|21.99|12.21|11.25|-28.55|33.03|339.427|49.727|299.176|0.015|0.042|0.026
299|51:23.7|-44.32935582|55.10592277|44.56|20.8|12.15|11.03|-28.39|32.79|338.389|50.025|298.324|0.019|0.041|0.027
300|51:34.2|-44.66476771|55.87986487|44.24|20.18|12.03|11|-28.69|33.00|338.6|51.515|296.672|0.018|0.041|0.024
301|51:44.7|-44.99474006|56.66437891|44.49|22.83|11.88|11.39|-29.24|33.55|337.634|52.307|295.035|0.019|0.041|0.028
302|51:55.1|-45.31754794|57.45566421|44.52|21.66|11.97|11.48|-29.45|33.80|337.496|51.637|294.162|0.02|0.042|0.026
303|52:05.6|-45.6347045|58.25773825|44.49|20.64|12.12|10.99|-29.89|34.07|337.706|50.796|294.532|0.02|0.04|0.027
304|52:16.1|-45.94593052|59.07038255|44.43|20.57|12.22|10.74|-30.45|34.52|337.46|52.212|294.659|0.02|0.041|0.025
305|52:26.6|-46.25092055|59.89326352|44.63|21.5|12.07|10.76|-30.91|34.88|336.841|51.193|294.566|0.02|0.04|0.026
306|52:37.1|-46.54910594|60.72524137|44.81|20.99|11.8|10.95|-31.32|35.21|337.652|52.059|293.998|0.017|0.042|0.026
307|52:47.6|-46.84055378|61.56687106|44.15|20.34|11.77|11.01|-31.39|35.29|337.675|53.072|292.585|0.016|0.041|0.027
308|52:58.0|-47.12458364|62.41650264|44.5|20.73|11.82|10.77|-31.52|35.34|337.136|53.288|293.117|0.019|0.041|0.024
309|53:08.5|-47.40093787|63.27356616|44.56|21.33|11.97|10.7|-31.65|35.49|337.064|52.477|293.174|0.015|0.042|0.029
310|53:18.9|-47.67024562|64.14030823|44.24|21.08|11.93|10.61|-31.93|35.70|336.262|51.199|293.654|0.019|0.043|0.024
311|53:29.4|-47.93235091|65.01665063|45|20.8|12.02|10.72|-32.09|35.90|337.534|51.312|294.482|0.02|0.041|0.024
312|53:39.9|-48.18755393|65.90411417|44.86|19.99|12.08|10.5|-32.49|36.22|338.274|51.094|294.983|0.015|0.041|0.026
313|53:50.3|-48.43524376|66.80110159|44.45|20.5|12.21|10.47|-32.84|36.57|339.384|52.727|293.91|0.016|0.042|0.027
314|54:00.8|-48.67524712|67.70741874|45.05|19.71|12.28|10.17|-32.77|36.44|338.921|53.049|293.037|0.015|0.04|0.028
315|54:11.3|-48.90716879|68.62193943|44.41|20.77|12.4|9.99|-33.35|36.96|339.22|52.542|294.03|0.014|0.042|0.027
316|54:21.8|-49.13105682|69.54519803|44.31|20.91|12.42|9.94|-33.87|37.42|338.342|51.95|295.438|0.02|0.041|0.027
317|54:32.3|-49.34662467|70.47635707|45.02|21.99|12.45|9.81|-34.43|37.90|339.241|52.229|295.73|0.021|0.041|0.026
318|54:42.7|-49.55359878|71.41447659|44.43|20.04|12.5|9.63|-34.83|38.24|338.832|53.041|295.141|0.016|0.041|0.026
319|54:53.2|-49.75226139|72.36114773|44.47|21.39|12.57|9.53|-34.97|38.36|337.299|54.158|294.117|0.021|0.041|0.025
320|55:03.6|-49.94277557|73.31771198|44.43|21.09|12.63|9.42|-35.1|38.47|336.573|54.54|293.462|0.017|0.042|0.026
321|55:14.1|-50.12446714|74.28126651|44.65|20.71|12.58|9.59|-35.28|38.66|336.758|53.182|294.488|0.014|0.041|0.026
322|55:24.6|-50.29759996|75.25364637|44.52|19.7|12.52|9.71|-35.6|38.97|336.06|52.187|295.842|0.02|0.041|0.025
323|55:35.1|-50.46167639|76.23249461|44.38|20.2|12.68|9.43|-36.25|39.54|336.332|53.323|295.532|0.014|0.041|0.026
324|55:45.6|-50.61669007|77.21807008|44.47|20.76|12.81|9.42|-37|40.27|336.358|52.896|295.176|0.018|0.042|0.03
325|55:56.0|-50.76228594|78.20828742|44.43|20.58|12.84|9.11|-37.67|40.83|337.264|53.125|295.45|0.015|0.042|0.027
326|56:06.5|-50.8987419|79.20526461|44.65|21.43|12.94|9.11|-37.61|40.80|337.653|54.486|295.322|0.02|0.04|0.026
327|56:17.0|-51.02615304|80.21037516|44.5|20.47|13|9.1|-37.95|41.13|338.204|55.101|295.904|0.016|0.042|0.029
328|56:27.4|-51.14389064|81.21906351|44.43|20.72|13.15|9.12|-38.18|41.40|337.557|54.921|296.05|0.017|0.043|0.027
329|56:37.9|-51.25239355|82.23554322|44.56|18.55|13.55|8.9|-38.75|42.00|337.985|54.492|294.732|0.014|0.04|0.026
330|56:48.4|-51.35118915|83.25601286|44.47|20.12|13.91|8.88|-39.07|42.41|338.395|54.535|294.981|0.02|0.041|0.026
331|56:58.9|-51.44032138|84.28122995|44.57|20.62|14.13|8.97|-39.18|42.61|337.364|55.616|295.877|0.017|0.042|0.027
332|57:09.4|-51.51956687|85.30878285|44.17|20.64|14.17|9.14|-39.72|43.15|337.429|54.078|296.461|0.02|0.041|0.026
333|57:19.9|-51.58913639|86.3418421|44.54|20.8|14.24|9.17|-40.08|43.51|336.776|53.391|297.313|0.02|0.04|0.028
334|57:30.4|-51.64864605|87.37482333|44.56|20.76|14.43|9.22|-40.49|43.96|336.157|52.075|297.908|0.013|0.042|0.028
335|57:40.8|-51.69826503|88.41017151|44.4|20.67|14.18|9.06|-40.74|44.08|335.649|50.463|299.027|0.017|0.041|0.029
336|57:51.3|-51.73798731|89.44822152|44.54|19.27|14.59|8.87|-41.26|44.65|335.59|49.409|298.533|0.017|0.041|0.026
337|58:01.8|-51.76779418|90.48973637|44.49|20.88|14.86|8.72|-41.35|44.80|335.529|47.542|299.418|0.019|0.042|0.028
338|58:12.2|-51.78755015|91.53002816|44.22|20.44|15.08|8.57|-41.68|45.15|336.666|47.868|299.76|0.015|0.043|0.025
339|58:22.7|-51.797328|92.57277152|44.54|20.83|15.26|8.69|-41.79|45.33|337.742|47.803|299.946|0.018|0.041|0.026
340|58:33.2|-51.79707609|93.61621117|44.24|20.87|15.51|8.66|-41.87|45.48|338.082|48.82|298.902|0.014|0.04|0.026
341|58:43.7|-51.78680496|94.65824034|45.11|20.65|15.52|8.55|-42.37|45.93|338.488|50.568|299.126|0.013|0.042|0.025
342|58:54.1|-51.76655434|95.69845562|45.05|22.49|16.04|8.41|-42.9|46.57|338.192|49.8|299.482|0.019|0.041|0.029
343|59:04.6|-51.7362947|96.73864714|45.02|20.87|16.39|8.32|-43.33|47.07|338.21|50.477|299.268|0.021|0.041|0.026
344|59:15.1|-51.69609681|97.77648007|44.54|20.39|16.69|8.08|-43.21|47.02|336.321|49.181|299.077|0.02|0.041|0.026
345|59:25.6|-51.64584979|98.81453376|44.63|19.93|16.95|8.09|-43.94|47.79|335.462|47.611|299.958|0.019|0.042|0.027
346|59:36.0|-51.58585936|99.84702048|44.65|20.51|17.06|8.24|-44.7|48.55|334.855|48.985|299.169|0.015|0.041|0.027
347|59:46.5|-51.51603412|100.8765748|44.49|21.09|17.22|8.46|-45.2|49.10|335.571|48.522|299.644|0.02|0.04|0.025
348|59:56.9|-51.43649964|101.9018427|44.45|19.78|17.33|8.59|-45.57|49.50|336.424|48.63|300.492|0.014|0.041|0.026
349|00:07.4|-51.3470742|102.9252748|44.57|21|17.56|8.68|-45.24|49.30|336.594|47.491|301.457|0.018|0.041|0.029
350|00:17.9|-51.248099|103.9431709|44.91|20.97|17.94|8.67|-45.07|49.28|336.636|48.54|300.058|0.014|0.042|0.026
351|00:28.3|-51.13949183|104.9568361|45.16|20.86|18.37|8.65|-45.25|49.60|336.929|48.104|299.737|0.014|0.04|0.027
352|00:38.8|-51.02136158|105.9655193|44.5|21.53|18.94|8.44|-45.84|50.31|336.752|49.757|299.009|0.015|0.041|0.026
353|00:49.3|-50.89401616|106.9671323|44.5|20.2|19.4|8.24|-45.93|50.54|336.495|47.921|301.27|0.02|0.041|0.028
354|00:59.8|-50.75681469|107.966796|44.11|20.73|19.81|8.18|-46.06|50.80|336.737|47.152|301.432|0.017|0.04|0.027
355|01:10.2|-50.61050698|108.9591026|44.45|20.94|20.04|8.48|-46.14|51.01|335.985|47.588|301.352|0.016|0.041|0.025
356|01:20.7|-50.45532594|109.9431361|44.27|22.42|20.14|8.36|-46.27|51.15|335.268|48.122|301.585|0.02|0.04|0.026
357|01:31.2|-50.29108948|110.9205644|44.17|21.3|20.36|8.34|-46.56|51.50|335.518|47.97|301.564|0.021|0.041|0.027
358|01:41.6|-50.11825612|111.8891642|44.97|19.53|20.7|8.11|-46.7|51.72|335.268|49.415|301.829|0.016|0.041|0.025
359|01:52.1|-49.93631358|112.8521681|44.47|20.69|21.24|8.16|-46.16|51.46|334.443|49.222|301.713|0.017|0.043|0.023
360|02:02.6|-49.7457084|113.807441|44.38|19.85|21.92|8.11|-47.17|52.64|334.905|49.457|301.38|0.016|0.042|0.026
361|02:13.0|-49.54656962|114.7547238|45.07|20.98|22.36|8.01|-47.21|52.85|336.068|52.548|300.786|0.015|0.041|0.027
362|02:23.5|-49.33921449|115.6929624|44.5|20.57|22.74|7.92|-47.02|52.83|335.776|52.153|300.746|0.022|0.04|0.026
363|02:34.0|-49.12337279|116.6237615|44.17|21.23|23.08|8.02|-47.13|53.09|335.673|51.094|301.698|0.02|0.04|0.028
364|02:44.4|-48.89921425|117.5466634|44.27|20.84|23.28|8.22|-47.44|53.48|334.489|50.143|302.733|0.017|0.042|0.024
365|02:54.9|-48.66664345|118.4623029|44.43|21.58|23.61|8.29|-47.84|53.99|335.623|50.995|301.128|0.018|0.041|0.025
366|03:05.4|-48.42635215|119.3682978|44.4|20.63|24.06|8.21|-47.77|54.11|336.316|51.32|302.2|0.021|0.041|0.025
367|03:15.9|-48.17811177|120.2659065|44.52|19.58|24.44|8.21|-47.71|54.23|336.318|50.012|302.497|0.015|0.041|0.026
368|03:26.4|-47.92236944|121.153892|44.25|20.07|24.74|8.41|-48.07|54.71|336.133|48.527|304.688|0.018|0.042|0.025
369|03:36.9|-47.65921553|122.0323746|44.45|20.95|25.15|8.42|-47.86|54.72|336.864|49.109|303.537|0.02|0.042|0.027
370|03:47.4|-47.38931824|122.8996391|44.41|20.76|25.62|8.42|-47.62|54.73|337.604|48.501|303.173|0.015|0.042|0.026
371|03:57.9|-47.11119482|123.7607617|44.5|21.04|25.85|8.45|-47.78|54.98|338.19|47.836|304.671|0.019|0.042|0.026
372|04:08.4|-46.82618856|124.6118263|44.79|19.88|26.23|8.56|-47.82|55.21|338.314|48.304|304.488|0.015|0.041|0.026
373|04:18.8|-46.53467939|125.452182|44.45|20.32|26.78|8.67|-47.92|55.58|338.006|49.451|304.426|0.021|0.041|0.028
374|04:29.3|-46.23671296|126.2821898|44.18|22.01|27.05|8.52|-47.92|55.68|338.128|48.639|306.039|0.02|0.041|0.027
375|04:39.8|-45.93215939|127.102639|44.13|19.84|27.41|8.73|-47.91|55.88|338.667|47.117|306.819|0.015|0.043|0.028
376|04:50.2|-45.62116257|127.9135271|44.38|20.96|27.9|8.83|-47.51|55.80|339.943|47.718|306.755|0.014|0.041|0.027
377|05:00.7|-45.30423301|128.7139504|44.7|22.08|28.34|8.94|-47.42|55.96|340.43|48.674|307.194|0.021|0.039|0.026
378|05:11.2|-44.98009044|129.5074419|44.5|20.69|28.64|9.23|-47.37|56.12|340.275|48.437|305.785|0.013|0.042|0.028
379|05:21.7|-44.64951471|130.2923078|44.29|20.65|29.03|9.22|-47.54|56.46|340.116|50.216|305.721|0.013|0.043|0.026
380|05:32.2|-44.31336518|131.0668786|44.47|20.87|29.37|8.99|-47.45|56.52|339.379|49.141|306.159|0.02|0.043|0.027
381|05:42.6|-43.97124441|131.8324571|44.77|20.74|29.64|8.92|-47.38|56.59|338.567|47.54|307.312|0.013|0.043|0.027
382|05:53.1|-43.62388416|132.5877921|45.11|20.48|29.96|9.13|-47.17|56.62|339.553|47.693|306.61|0.021|0.043|0.028
383|06:03.6|-43.2711558|133.3335745|44.47|20.93|30.34|8.78|-47.18|56.78|337.556|48.278|306.673|0.02|0.042|0.028
384|06:14.1|-42.91215768|134.072002|44.13|21.69|31.65|9.01|-47.12|57.47|336.276|47.655|307.909|0.018|0.041|0.027
385|06:24.6|-42.54812386|134.8008328|44.36|20.74|31.69|9.32|-47.24|57.64|336.501|47.234|308.805|0.015|0.042|0.027
386|06:35.0|-42.17975463|135.5190937|44.49|20.85|31.81|9.48|-46.79|57.37|336.953|49.045|308.835|0.021|0.04|0.026
387|06:45.5|-41.80599809|136.2292088|44.15|20.55|31.83|9.41|-46.5|57.13|336.156|49.808|308.664|0.017|0.041|0.023
388|06:56.0|-41.42718713|136.9308406|44.22|20.89|31.96|9.25|-46.29|57.01|335.893|49.329|308.154|0.015|0.041|0.026
389|07:06.5|-41.04259626|137.6255833|44.17|20.72|32.15|9.57|-45.99|56.92|335.019|48.727|309.147|0.019|0.042|0.025
390|07:17.0|-40.65461942|138.3094564|45.02|19.33|32.52|9.41|-45.53|56.74|334.294|49.878|309.13|0.019|0.042|0.026
391|07:27.4|-40.26195783|138.9851429|44.18|20.07|33.03|9.48|-45.3|56.86|334.189|50.267|309.797|0.018|0.041|0.025
392|07:37.9|-39.86457358|139.6529953|44.33|20.68|33.35|9.34|-45.27|57.00|333.991|48.951|310.769|0.023|0.041|0.026
393|07:48.4|-39.46260955|140.3130508|44.4|19.71|33.9|9.36|-44.96|57.08|334.389|48.517|310.183|0.015|0.041|0.028
394|07:58.9|-39.05677235|140.964458|44.43|21.81|34.05|9.58|-44.78|57.07|334.239|48.453|309.566|0.021|0.042|0.027
395|08:09.4|-38.64649633|141.6084249|44.63|22.23|34.57|9.79|-44.64|57.30|335.32|48.913|309.514|0.018|0.041|0.027
396|08:19.9|-38.23179377|142.2451873|44.27|21.97|34.8|9.94|-45.03|57.77|334.327|49.041|309.718|0.019|0.041|0.029
397|08:30.3|-37.81349146|142.8737591|44.24|20.18|35.16|9.91|-44.09|57.26|332.794|48.68|309.806|0.016|0.04|0.027
398|08:40.8|-37.39164219|143.4943718|44.77|20.35|35.46|9.88|-43.95|57.33|332.607|49.363|309.431|0.021|0.04|0.027
399|08:51.3|-36.96552147|144.1083554|44.47|20.91|35.97|9.61|-44.12|57.73|332.559|49.589|308.987|0.014|0.042|0.024
